new-namespace	classname	path	old-namespace
Import\Image	AddImageCommand	src/Image/AddImageCommand.php	LizardsAndPumpkins\Image
Import\Image	AddImageCommandHandler	src/Image/AddImageCommandHandler.php	LizardsAndPumpkins\Image
ProductListing	AddProductListingCommand	src/Product/AddProductListingCommand.php	LizardsAndPumpkins\Product
ProductListing	AddProductListingCommandHandler	src/Product/AddProductListingCommandHandler.php	LizardsAndPumpkins\Product
RestApi	ApiRequestHandlerLocator	src/Api/ApiRequestHandlerLocator.php	LizardsAndPumpkins\Api
RestApi	ApiRouter	src/Api/ApiRouter.php	LizardsAndPumpkins\Api
RestApi\Exception	ApiVersionMustBeIntException	src/Api/Exception/ApiVersionMustBeIntException.php	LizardsAndPumpkins\Api\Exception
Import\Product\Composite\Exception	AssociatedProductIsMissingRequiredAttributesException	src/Product/Composite/Exception/AssociatedProductIsMissingRequiredAttributesException.php	LizardsAndPumpkins\Product\Composite\Exception
Import\Product\Composite	AssociatedProductList	src/Product/Composite/AssociatedProductList.php	LizardsAndPumpkins\Product\Composite
Import\Product\Composite	AssociatedProductListBuilder	src/Projection/Catalog/Import/AssociatedProductListBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product	AttributeCode	src/Product/AttributeCode.php	LizardsAndPumpkins\Product
ProductSearch\Import	AttributeValueCollectorLocator	src/Product/ProductSearch/AttributeValueCollectorLocator.php	LizardsAndPumpkins\Product\ProductSearch
Import\ContentBlock	Block	src/Renderer/Block.php	LizardsAndPumpkins\Renderer
Import\TemplateRendering\Exception	BlockDoesNotExistException	src/Renderer/Exception/BlockDoesNotExistException.php	LizardsAndPumpkins\Renderer\Exception
Import\TemplateRendering\Exception	BlockIsNotAChildOfParentBlockException	src/Renderer/Exception/BlockIsNotAChildOfParentBlockException.php	LizardsAndPumpkins\Renderer\Exception
Import\TemplateRendering\Exception	BlockRendererMustHaveOneRootBlockException	src/Renderer/Exception/BlockRendererMustHaveOneRootBlockException.php	LizardsAndPumpkins\Renderer\Exception
Import\TemplateRendering	BlockStructure	src/Renderer/BlockStructure.php	LizardsAndPumpkins\Renderer
Import\TemplateRendering\Exception	CanNotInstantiateBlockException	src/Renderer/Exception/CanNotInstantiateBlockException.php	LizardsAndPumpkins\Renderer\Exception
Import	CatalogImport	src/Projection/Catalog/Import/CatalogImport.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\RestApi\Exception	CatalogImportApiDirectoryNotReadableException	src/Product/Exception/CatalogImportApiDirectoryNotReadableException.php	LizardsAndPumpkins\Product\Exception
Import\RestApi	CatalogImportApiV1PutRequestHandler	src/Product/CatalogImportApiV1PutRequestHandler.php	LizardsAndPumpkins\Product
Import\Exception	CatalogImportFileDoesNotExistException	src/Projection/Catalog/Import/Exception/CatalogImportFileDoesNotExistException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\RestApi\Exception	CatalogImportFileNameNotFoundInRequestBodyException	src/Product/Exception/CatalogImportFileNameNotFoundInRequestBodyException.php	LizardsAndPumpkins\Product\Exception
UNUSED	CatalogImportFileNotReadableException	src/Projection/Catalog/Import/Exception/CatalogImportFileNotReadableException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\XmlParser\Exception	CatalogImportSourceFilePathIsNotAStringException	src/Projection/Catalog/Import/Exception/CatalogImportSourceFilePathIsNotAStringException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\XmlParser\Exception	CatalogImportSourceXmlFileDoesNotExistException	src/Projection/Catalog/Import/Exception/CatalogImportSourceXmlFileDoesNotExistException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\XmlParser\Exception	CatalogImportSourceXmlFileIsNotReadableException	src/Projection/Catalog/Import/Exception/CatalogImportSourceXmlFileIsNotReadableException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import\XmlParser\Exception	CatalogImportSourceXMLNotAStringException	src/Projection/Catalog/Import/Exception/CatalogImportSourceXMLNotAStringException.php	LizardsAndPumpkins\Projection\Catalog\Import\Exception
Import	CatalogListingImportCallbackFailureMessage	src/Projection/Catalog/Import/CatalogListingImportCallbackFailureMessage.php	LizardsAndPumpkins\Projection\Catalog\Import
Import	CatalogWasImportedDomainEvent	src/Projection/Catalog/Import/CatalogWasImportedDomainEvent.php	LizardsAndPumpkins\Projection\Catalog\Import
Import	CatalogWasImportedDomainEventHandler	src/Projection/Catalog/Import/CatalogWasImportedDomainEventHandler.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\XmlParser	CatalogXmlParser	src/Projection/Catalog/Import/CatalogXmlParser.php	LizardsAndPumpkins\Projection\Catalog\Import
Messaging\Command	CommandConsumer	src/CommandConsumer.php	LizardsAndPumpkins
Messaging\Command	CommandHandlerFailedMessage	src/CommandHandlerFailedMessage.php	LizardsAndPumpkins
Messaging\Command	CommandHandlerLocator	src/CommandHandlerLocator.php	LizardsAndPumpkins
Messaging\Command	CommandProcessedLogMessage	src/Projection/CommandProcessedLogMessage.php	LizardsAndPumpkins\Projection
Util\Factory	CommonFactory	src/CommonFactory.php	LizardsAndPumpkins
Logging\Writer	CompositeLogMessageWriter	src/Log/Writer/CompositeLogMessageWriter.php	LizardsAndPumpkins\Log\Writer
DataPool\SearchEngine\SearchCriteria	CompositeSearchCriterion	src/DataPool/SearchEngine/SearchCriteria/CompositeSearchCriterion.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria
DataPool\KeyGenerator	CompositeSnippetKeyGeneratorLocatorStrategy	src/SnippetKeyGeneratorLocator/CompositeSnippetKeyGeneratorLocatorStrategy.php	LizardsAndPumpkins\SnippetKeyGeneratorLocator
Context\Website	ConfigurableHostToWebsiteMap	src/Website/ConfigurableHostToWebsiteMap.php	LizardsAndPumpkins\Website
Import\Product\Composite	ConfigurableProduct	src/Product/Composite/ConfigurableProduct.php	LizardsAndPumpkins\Product\Composite
Import\Product\Composite\Exception	ConfigurableProductAssociatedProductListInvariantViolationException	src/Product/Composite/Exception/ConfigurableProductAssociatedProductListInvariantViolationException.php	LizardsAndPumpkins\Product\Composite\Exception
ProductSearch\Import	ConfigurableProductAttributeValueCollector	src/Product/ProductSearch/ConfigurableProductAttributeValueCollector.php	LizardsAndPumpkins\Product\ProductSearch
Import\Product	ConfigurableProductBuilder	src/Projection/Catalog/Import/ConfigurableProductBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
ProductDetail\Import	ConfigurableProductJsonSnippetRenderer	src/Product/ConfigurableProductJsonSnippetRenderer.php	LizardsAndPumpkins\Product
Import\Product	ConfigurableProductXmlToAssociatedProductListBuilder	src/Projection/Catalog/Import/ConfigurableProductXmlToAssociatedProductListBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product	ConfigurableProductXmlToProductBuilder	src/Projection/Catalog/Import/ConfigurableProductXmlToProductBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product	ConfigurableProductXmlToVariationAttributeList	src/Projection/Catalog/Import/ConfigurableProductXmlToVariationAttributeList.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product\Exception	ConflictingContextDataForProductAttributeListException	src/Product/Exception/ConflictingContextDataForProductAttributeListException.php	LizardsAndPumpkins\Product\Exception
Import\ContentBlock\RestApi\Exception	ContentBlockBodyIsMissingInRequestBodyException	src/Content/Exception/ContentBlockBodyIsMissingInRequestBodyException.php	LizardsAndPumpkins\Content\Exception
Import\ContentBlock\RestApi\Exception	ContentBlockContextIsMissingInRequestBodyException	src/Content/Exception/ContentBlockContextIsMissingInRequestBodyException.php	LizardsAndPumpkins\Content\Exception
Import\ContentBlock	ContentBlockId	src/Content/ContentBlockId.php	LizardsAndPumpkins\Content
Import\ContentBlock	ContentBlockProjector	src/Content/ContentBlockProjector.php	LizardsAndPumpkins\Content
Import\ContentBlock\RestApi	ContentBlocksApiV1PutRequestHandler	src/Content/ContentBlocksApiV1PutRequestHandler.php	LizardsAndPumpkins\Content
Import\ContentBlock	ContentBlockSnippetKeyGeneratorLocatorStrategy	src/SnippetKeyGeneratorLocator/ContentBlockSnippetKeyGeneratorLocatorStrategy.php	LizardsAndPumpkins\SnippetKeyGeneratorLocator
Import\ContentBlock	ContentBlockSnippetRenderer	src/Content/ContentBlockSnippetRenderer.php	LizardsAndPumpkins\Content
Import\ContentBlock	ContentBlockSource	src/Content/ContentBlockSource.php	LizardsAndPumpkins\Content
Import\ContentBlock	ContentBlockWasUpdatedDomainEvent	src/Content/ContentBlockWasUpdatedDomainEvent.php	LizardsAndPumpkins\Content
