"SKU","Artikelnummer"
"Additional information","Zusätzliche Information"
"incl. VAT, plus &euro; 1.99 insurance and handling plus delivery charge","inkl. MwSt, zzgl. 1,99 &euro; Versicherung und Verpackung, zzgl. Versandkosten"
"In Stock","Lieferbar"
"Out Of Stock","Nicht verfügbar"
"Your Recently Viewed","Zuletzt angeschaute Artikel"
"Availability","Verfügbarkeit"
"Add to Cart","In den Warenkorb"
"More by","Mehr von"
"Other %s %s models for %s","Andere %s %s Modelle für %s"
"Shipping Info","Versandinfo"
