"SKU","N° article"
"Additional information","Informations complémentaires"
"incl. VAT, plus &euro; 1.99 insurance and handling plus delivery charge","TVA incluse, en plus 1,99 € pour l'assurance et l'emballage, en plus frais d’expédition"
"In Stock","Disponible"
"Out Of Stock","Non disponible"
"Your Recently Viewed","Récemment vu"
"Availability","Disponibilité"
"Add to Cart","Ajouter au panier"
"More by","Plus de produits"
"Other %s %s models for %s","Autres %s %s modèles pour %s"
"Shipping Info","Informations de livraison"
"Select %s","Choisisir %s"
